ncol,nrow,population,allroads,mainroads,secroads,industries,traffic_points
31.0,3.0,825.0,3.6,1.0,0.0,0.5,0.0
32.0,3.0,1034.0,1.2,1.6,0.0,0.5,1.0
33.0,3.0,1978.0,0.3,0.0,0.0,0.0,0.0
34.0,3.0,137.0,0.9,0.0,0.0,0.0,0.0
35.0,3.0,3748.0,1.1,0.0,0.0,0.0,2.0
36.0,3.0,347.0,0.6,0.0,0.0,0.0,0.0
37.0,3.0,396.0,0.8,0.0,0.0,0.0,0.0
38.0,3.0,464.0,1.0,0.0,0.0,0.0,0.0
39.0,3.0,988.0,0.8,0.0,0.0,0.0,2.0
40.0,3.0,2389.0,0.0,0.0,0.0,0.0,0.0
41.0,3.0,184.0,0.0,0.0,0.0,0.0,0.0
42.0,3.0,275.0,0.0,0.0,0.0,0.0,0.0
43.0,3.0,435.0,0.0,0.0,0.0,0.0,0.0
44.0,3.0,246.0,0.0,0.0,0.0,0.0,0.0
45.0,3.0,1903.0,0.5,0.0,0.0,0.5,1.0
46.0,3.0,11203.0,6.0,0.0,0.6,3.0,90.0
47.0,3.0,14159.0,1.3,1.1,0.9,1.0,18.0
48.0,3.0,10842.0,0.2,2.6,0.0,1.0,29.0
49.0,3.0,1503.0,0.0,1.0,0.0,0.0,4.0
50.0,3.0,9808.0,0.0,1.0,0.0,0.0,0.0
1.0,4.0,54.0,0.0,0.0,0.0,0.0,0.0
2.0,4.0,40.0,0.0,0.0,0.0,0.0,0.0
3.0,4.0,267.0,1.0,0.0,0.0,0.0,0.0
4.0,4.0,220.0,1.1,0.4,0.0,0.0,0.0
5.0,4.0,1328.0,0.2,1.3,0.0,0.0,1.0
6.0,4.0,2717.0,0.0,1.6,0.0,0.5,6.0
7.0,4.0,5416.0,2.0,5.8,0.0,3.0,98.0
8.0,4.0,2629.0,6.4,0.2,0.0,0.5,6.0
9.0,4.0,399.0,0.0,1.1,0.0,0.0,0.0
10.0,4.0,6786.0,0.5,1.1,0.0,0.0,0.0
11.0,4.0,162.0,0.0,1.1,0.0,0.0,0.0
12.0,4.0,105.0,0.0,0.0,0.0,0.0,0.0
13.0,4.0,295.0,0.0,0.0,0.0,0.0,0.0
14.0,4.0,161.0,0.0,0.0,0.0,0.0,0.0
15.0,4.0,317.0,0.0,0.0,0.0,0.0,1.0
16.0,4.0,4983.0,0.0,1.1,0.0,0.5,3.0
17.0,4.0,76.0,0.0,0.0,0.0,0.0,0.0
18.0,4.0,87.0,0.0,0.0,0.0,0.0,0.0
19.0,4.0,88.0,0.0,0.0,0.0,0.0,0.0
20.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
21.0,4.0,73.0,0.0,1.1,0.0,0.0,0.0
22.0,4.0,69.0,0.0,0.7,0.0,0.0,0.0
23.0,4.0,138.0,0.0,0.0,0.0,0.0,0.0
24.0,4.0,24.0,0.0,0.0,0.0,0.0,0.0
25.0,4.0,63.0,0.0,0.0,0.0,0.0,0.0
26.0,4.0,24.0,0.0,0.6,0.0,0.0,0.0
27.0,4.0,14.0,0.4,1.2,0.0,0.0,0.0
28.0,4.0,730.0,0.1,0.3,0.0,0.0,1.0
29.0,4.0,717.0,0.0,1.1,0.0,0.0,1.0
30.0,4.0,286.0,0.0,0.0,0.0,0.0,0.0
31.0,4.0,698.0,0.0,2.5,0.0,0.5,2.0
32.0,4.0,413.0,0.0,0.0,0.0,0.0,0.0
33.0,4.0,474.0,0.9,0.0,0.0,0.0,0.0
34.0,4.0,1247.0,1.6,0.0,0.0,0.0,0.0
35.0,4.0,247.0,0.2,0.0,0.0,0.0,0.0
36.0,4.0,267.0,0.4,0.0,0.0,0.0,0.0
37.0,4.0,77.0,0.4,0.0,0.0,0.0,0.0
38.0,4.0,263.0,0.0,0.0,0.0,0.0,0.0
39.0,4.0,110.0,1.1,0.0,0.0,0.0,0.0
40.0,4.0,58.0,0.1,0.0,0.0,0.0,0.0
41.0,4.0,83.0,0.0,0.0,0.0,0.0,1.0
42.0,4.0,103.0,0.0,0.0,0.0,0.0,0.0
43.0,4.0,357.0,0.0,0.0,0.0,0.0,0.0
44.0,4.0,256.0,0.0,0.0,0.0,0.0,1.0
45.0,4.0,230.0,0.0,0.0,0.0,0.5,0.0
46.0,4.0,238.0,1.0,0.0,0.0,0.5,1.0
47.0,4.0,564.0,0.3,1.3,0.0,0.0,6.0
48.0,4.0,907.0,0.0,0.0,0.0,0.0,0.0
49.0,4.0,280.0,0.0,0.0,0.0,0.0,1.0
50.0,4.0,274.0,0.0,0.0,0.0,0.0,0.0
1.0,5.0,160.0,1.2,0.0,0.0,0.0,0.0
2.0,5.0,201.0,1.3,0.0,0.0,0.0,0.0
3.0,5.0,168.0,0.2,0.3,0.0,0.0,0.0
4.0,5.0,164.0,0.0,1.3,0.0,0.0,0.0
5.0,5.0,76.0,0.0,0.0,0.0,0.0,0.0
6.0,5.0,656.0,0.0,0.0,0.0,0.0,0.0
7.0,5.0,484.0,0.0,1.8,0.0,1.0,20.0
8.0,5.0,1765.0,1.5,2.3,0.0,0.5,1.0
9.0,5.0,14726.0,1.2,0.0,0.0,0.5,1.0
10.0,5.0,619.0,1.6,0.0,0.0,0.0,0.0
11.0,5.0,74.0,0.0,0.0,0.0,0.0,0.0
12.0,5.0,104.0,0.0,1.1,0.0,0.0,0.0
13.0,5.0,169.0,0.0,1.1,0.0,0.0,0.0
14.0,5.0,1155.0,0.0,1.1,0.0,0.0,4.0
15.0,5.0,399.0,0.0,1.1,0.0,0.0,2.0
16.0,5.0,431.0,0.0,1.4,0.0,0.0,3.0
17.0,5.0,37.0,0.0,0.0,0.0,0.0,0.0
18.0,5.0,87.0,0.0,0.0,0.0,0.0,0.0
19.0,5.0,22.0,0.0,0.0,0.0,0.0,0.0
20.0,5.0,46.0,0.0,0.0,0.0,0.0,0.0
21.0,5.0,7209.0,0.5,1.3,0.0,0.0,1.0
22.0,5.0,105.0,1.2,0.0,0.0,0.0,0.0
23.0,5.0,851.0,1.4,0.0,0.0,0.0,0.0
24.0,5.0,61.0,1.1,0.0,0.0,0.0,1.0
25.0,5.0,904.0,1.6,0.0,0.0,0.0,0.0
26.0,5.0,63.0,1.1,0.0,0.0,0.0,1.0
27.0,5.0,95.0,0.8,0.0,0.0,0.0,0.0
28.0,5.0,528.0,0.0,1.2,0.0,0.0,0.0
29.0,5.0,1794.0,0.7,1.8,0.0,0.5,0.0
30.0,5.0,2356.0,3.1,1.1,0.0,0.5,8.0
31.0,5.0,597.0,0.1,1.3,0.0,0.0,1.0
32.0,5.0,330.0,0.0,0.0,0.0,0.0,0.0
33.0,5.0,640.0,0.0,0.0,0.0,0.0,0.0
34.0,5.0,309.0,0.0,0.0,0.0,0.0,0.0
35.0,5.0,286.0,2.1,0.0,0.0,0.5,1.0
36.0,5.0,309.0,0.9,0.0,0.0,0.0,0.0
37.0,5.0,335.0,0.0,0.0,0.0,0.0,0.0
38.0,5.0,312.0,0.0,0.0,0.0,0.0,0.0
39.0,5.0,124.0,0.0,0.0,0.0,0.0,0.0
40.0,5.0,103.0,1.2,0.0,0.0,0.0,0.0
41.0,5.0,36.0,0.0,0.0,0.0,0.0,0.0
42.0,5.0,110.0,0.0,0.0,0.0,0.0,0.0
43.0,5.0,4526.0,0.0,0.0,0.0,0.5,2.0
44.0,5.0,413.0,0.0,0.0,0.0,0.0,0.0
45.0,5.0,371.0,0.0,0.0,0.0,0.0,0.0
46.0,5.0,4820.0,0.0,0.4,0.0,0.0,0.0
47.0,5.0,1105.0,0.1,1.0,0.0,0.5,2.0
48.0,5.0,5117.0,0.7,0.0,0.0,0.0,0.0
49.0,5.0,110.0,0.0,0.0,0.0,0.0,0.0
50.0,5.0,310.0,0.0,0.0,0.0,0.0,0.0
1.0,6.0,26.0,0.0,0.0,0.0,0.0,0.0
2.0,6.0,28.0,0.0,0.0,0.0,0.0,0.0
3.0,6.0,287.0,0.0,1.2,0.0,0.0,0.0
4.0,6.0,40.0,0.0,0.0,0.0,0.0,0.0
5.0,6.0,84.0,0.0,0.0,0.0,0.0,0.0
6.0,6.0,190.0,0.0,0.0,0.0,0.0,0.0
7.0,6.0,3414.0,0.0,1.2,0.0,0.0,0.0
8.0,6.0,3507.0,0.0,1.3,0.0,0.0,1.0
9.0,6.0,481.0,1.2,1.4,0.0,0.5,4.0
10.0,6.0,402.0,0.0,0.0,0.0,0.0,0.0
11.0,6.0,77.0,0.0,0.0,0.0,0.0,0.0
12.0,6.0,41.0,0.0,0.0,0.0,0.0,0.0
13.0,6.0,126.0,0.0,0.0,0.0,0.0,0.0
14.0,6.0,62.0,0.0,0.0,0.0,0.0,0.0
15.0,6.0,286.0,0.0,0.0,0.0,0.0,0.0
16.0,6.0,478.0,0.0,1.1,0.0,0.0,0.0
17.0,6.0,63.0,0.0,0.0,0.0,0.0,0.0
18.0,6.0,60.0,0.0,0.0,0.0,0.0,0.0
19.0,6.0,29.0,0.0,0.0,0.0,0.0,0.0
20.0,6.0,1293.0,0.0,0.0,0.0,0.0,0.0
21.0,6.0,359.0,0.0,1.2,0.0,0.0,0.0
22.0,6.0,141.0,0.0,0.0,0.0,0.0,0.0
23.0,6.0,128.0,1.1,0.0,0.0,0.0,0.0
24.0,6.0,54.0,0.0,0.0,0.0,0.0,0.0
25.0,6.0,65.0,1.3,0.0,0.0,0.0,0.0
26.0,6.0,63.0,0.0,0.0,0.0,0.0,0.0
27.0,6.0,79.0,0.0,0.0,0.0,0.0,0.0
28.0,6.0,321.0,0.0,0.0,0.0,0.0,0.0
29.0,6.0,4036.0,4.5,0.5,0.0,0.5,6.0
30.0,6.0,1526.0,6.0,3.7,0.0,2.0,78.0
31.0,6.0,348.0,0.0,0.2,0.0,0.0,1.0
32.0,6.0,330.0,0.0,0.0,0.0,0.0,0.0
33.0,6.0,4035.0,0.0,0.0,0.0,0.0,0.0
34.0,6.0,498.0,1.2,0.0,0.0,0.0,0.0
35.0,6.0,494.0,0.5,0.0,0.0,0.0,0.0
36.0,6.0,330.0,1.5,0.0,0.0,0.0,0.0
37.0,6.0,365.0,0.0,0.0,0.0,0.0,0.0
38.0,6.0,145.0,0.0,0.0,0.0,0.0,0.0
39.0,6.0,247.0,0.0,0.0,0.0,0.0,0.0
40.0,6.0,128.0,1.6,0.0,0.0,0.0,0.0
41.0,6.0,165.0,0.2,0.0,0.0,0.0,0.0
42.0,6.0,144.0,0.0,0.0,0.0,0.0,0.0
43.0,6.0,614.0,0.0,0.0,0.0,0.0,0.0
44.0,6.0,762.0,0.0,0.0,0.0,0.0,0.0
45.0,6.0,988.0,0.0,0.0,0.0,0.0,0.0
46.0,6.0,1008.0,0.0,1.4,0.0,0.5,9.0
47.0,6.0,512.0,0.0,0.0,0.0,0.0,1.0
48.0,6.0,627.0,0.0,0.0,0.0,0.0,0.0
49.0,6.0,288.0,0.0,0.0,0.0,0.0,0.0
50.0,6.0,309.0,0.0,0.0,0.0,0.0,0.0
1.0,7.0,24.0,0.0,0.0,0.0,0.0,0.0
2.0,7.0,24.0,0.0,0.4,0.0,0.0,0.0
3.0,7.0,144.0,0.0,0.9,0.0,0.0,0.0
4.0,7.0,41.0,0.0,0.0,0.0,0.0,0.0
5.0,7.0,84.0,0.0,0.0,0.0,0.0,0.0
6.0,7.0,705.0,0.0,0.0,0.0,0.0,1.0
7.0,7.0,287.0,0.0,1.2,0.0,0.0,0.0
8.0,7.0,206.0,0.0,0.0,0.0,0.0,0.0
9.0,7.0,698.0,0.0,2.0,0.0,0.5,0.0
10.0,7.0,273.0,0.0,0.9,0.0,0.5,1.0
11.0,7.0,63.0,0.0,0.0,0.0,0.0,0.0
12.0,7.0,41.0,0.0,0.0,0.0,0.0,0.0
13.0,7.0,153.0,0.0,0.0,0.0,0.0,0.0
14.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0
15.0,7.0,222.0,0.0,0.0,0.0,0.0,0.0
16.0,7.0,431.0,0.0,1.1,0.0,0.0,1.0
17.0,7.0,317.0,0.0,0.2,0.0,0.0,0.0
18.0,7.0,53.0,0.0,0.0,0.0,0.0,0.0
19.0,7.0,36.0,0.0,0.0,0.0,0.0,0.0
20.0,7.0,31.0,0.0,0.0,0.0,0.0,0.0
21.0,7.0,356.0,0.0,1.2,0.0,0.0,0.0
22.0,7.0,127.0,0.1,0.0,0.0,0.0,0.0
23.0,7.0,136.0,1.1,0.0,0.0,0.0,0.0
24.0,7.0,57.0,0.0,0.0,0.0,0.0,0.0
25.0,7.0,57.0,1.0,0.0,0.0,0.0,0.0
26.0,7.0,57.0,0.3,0.0,0.0,0.0,0.0
27.0,7.0,63.0,0.0,0.0,0.0,0.0,0.0
28.0,7.0,203.0,1.2,0.0,0.0,0.0,0.0
29.0,7.0,350.0,0.4,0.0,0.0,0.0,0.0
30.0,7.0,698.0,2.8,2.3,0.0,0.5,1.0
31.0,7.0,841.0,0.0,1.0,0.0,0.0,0.0
32.0,7.0,1036.0,0.0,1.2,0.0,0.0,0.0
33.0,7.0,1051.0,0.0,0.6,0.0,0.0,3.0
34.0,7.0,906.0,0.9,1.1,0.0,0.0,0.0
35.0,7.0,741.0,0.0,0.0,0.0,0.0,0.0
36.0,7.0,732.0,1.1,0.0,0.0,0.0,0.0
37.0,7.0,536.0,0.6,0.0,0.0,0.0,3.0
38.0,7.0,320.0,0.0,0.0,0.0,1.0,0.0
39.0,7.0,247.0,0.0,0.0,0.0,1.0,0.0
40.0,7.0,229.0,0.0,0.0,0.0,0.0,0.0
41.0,7.0,3864.0,1.4,0.0,0.0,0.5,1.0
42.0,7.0,122.0,0.8,0.0,0.0,0.0,0.0
43.0,7.0,292.0,0.0,0.0,0.0,0.0,0.0
44.0,7.0,227.0,0.0,0.0,0.0,0.0,0.0
45.0,7.0,792.0,0.0,1.5,0.0,0.0,1.0
46.0,7.0,700.0,0.0,0.0,0.0,0.0,0.0
47.0,7.0,545.0,0.0,0.0,0.0,0.0,1.0
48.0,7.0,1499.0,0.0,0.0,0.0,0.0,0.0
49.0,7.0,288.0,0.0,0.0,0.0,0.0,0.0
50.0,7.0,2083.0,0.0,0.0,0.0,0.0,5.0
1.0,8.0,62.0,0.0,0.9,0.0,0.0,2.0
2.0,8.0,101.0,0.0,1.1,0.0,0.0,0.0
3.0,8.0,1172.0,0.0,0.0,0.0,0.0,0.0
4.0,8.0,202.0,0.0,0.0,0.0,0.0,0.0
5.0,8.0,151.0,0.0,0.0,0.0,0.0,1.0
6.0,8.0,13061.0,0.0,1.0,0.0,0.5,2.0
7.0,8.0,564.0,0.0,0.1,0.0,0.0,1.0
8.0,8.0,288.0,0.0,0.0,0.0,0.0,0.0
9.0,8.0,729.0,0.0,0.0,0.0,0.0,0.0
10.0,8.0,1135.0,0.3,2.3,0.0,0.5,4.0
11.0,8.0,984.0,0.0,0.7,0.0,0.5,0.0
